"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-22T03:00:00","4","FM-12","99999","V020","99999,9,10102,1","+0288,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-22T06:00:00","4","FM-12","99999","V020","99999,9,10097,1","+0350,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-22T09:00:00","4","FM-12","99999","V020","99999,9,10084,1","+0362,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-22T12:00:00","4","FM-12","99999","V020","99999,9,10066,1","+0340,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-23T03:00:00","4","FM-12","99999","V020","99999,9,10080,1","+0290,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-23T06:00:00","4","FM-12","99999","V020","99999,9,10074,1","+0342,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-23T09:00:00","4","FM-12","99999","V020","99999,9,10060,1","+0366,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-23T12:00:00","4","FM-12","99999","V020","99999,9,10041,1","+0336,1","340,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-24T03:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0300,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-24T09:00:00","4","FM-12","99999","V020","99999,9,10062,1","+0368,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-24T12:00:00","4","FM-12","99999","V020","99999,9,10048,1","+0344,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-25T03:00:00","4","FM-12","99999","V020","99999,9,10082,1","+0288,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-25T06:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0358,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-25T09:00:00","4","FM-12","99999","V020","99999,9,10053,1","+0358,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-25T12:00:00","4","FM-12","99999","V020","99999,9,10045,1","+0348,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-26T03:00:00","4","FM-12","99999","V020","99999,9,10081,1","+0290,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-26T06:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0350,1","320,1,N,0010,1"
